表名,列名,数据类型,键类型（PRI_UNI_MUL）,是否允许为空,额外属性（自增等）,是否外键,外键名称,关联主表名,关联主表列名,外键所在数据库,关联主表所在数据库
calculator,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
calculator,Name,varchar,UNI,NO,,无,无,无,无,无,无
calculator,Description,text,,YES,,无,无,无,无,无,无
calculator,CyberSecurity,tinyint,,YES,,无,无,无,无,无,无
calculator,MAX_TEMP,float,,YES,,无,无,无,无,无,无
calculator,MIN_TEMP,float,,YES,,无,无,无,无,无,无
calculator,Domain,varchar,MUL,NO,,是,fk_calculator_domain_enum1,domain_enum,VALUE,darkerdatabase,darkerdatabase
calculator,Fusa_Level,varchar,MUL,NO,,是,fk_calculator_fusa_enum1,fusa_enum,LEVEL,darkerdatabase,darkerdatabase
calculator,Type,varchar,MUL,NO,,是,fk_calculator_calculator_type_enum1,calculator_type_enum,TYPE,darkerdatabase,darkerdatabase
calculator,Supplier_Name,varchar,MUL,NO,,是,fk_calculator_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
calculator_type_enum,TYPE,varchar,PRI,NO,,无,无,无,无,无,无
camera,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
camera,Name,varchar,,NO,,无,无,无,无,无,无
camera,Type,varchar,,YES,,无,无,无,无,无,无
camera,Image_Sensor,varchar,MUL,NO,,是,fk_camera_Image_sensors1,image_sensors,Name,darkerdatabase,darkerdatabase
camera,Lens,varchar,MUL,NO,,是,fk_camera_lens1,lens,Name,darkerdatabase,darkerdatabase
camera,Serializer,varchar,MUL,NO,,是,fk_camera_serializers1,serializers,Name,darkerdatabase,darkerdatabase
camera,Supplier_Name,varchar,MUL,NO,,是,fk_camera_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
deliverables,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
deliverables,Name,int,MUL,NO,,是,fk_Deliverables_Work1,work,ID,darkerdatabase,darkerdatabase
deliverables,Deliveralbe,varchar,MUL,NO,,是,fk_Deliverables_Deliveralbe_content1,deliveralbe_content,Name,darkerdatabase,darkerdatabase
deliveralbe_content,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
deliveralbe_content,Doc,varchar,,YES,,无,无,无,无,无,无
deliveralbe_content,Name,varchar,UNI,YES,,无,无,无,无,无,无
domain_enum,VALUE,varchar,PRI,NO,,无,无,无,无,无,无
euf,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
euf,Name,varchar,UNI,YES,,无,无,无,无,无,无
euf,Description,text,,YES,,无,无,无,无,无,无
euf,fusa_enum_LEVEL,varchar,MUL,NO,,是,fk_euf_fusa_enum1,fusa_enum,LEVEL,darkerdatabase,darkerdatabase
euf,sae_enum_LEVEL,varchar,MUL,NO,,是,fk_euf_sae_enum1,sae_enum,LEVEL,darkerdatabase,darkerdatabase
euf,Full_Name,varchar,,YES,,无,无,无,无,无,无
function_features,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
function_features,Name,varchar,UNI,NO,,无,无,无,无,无,无
function_features,Description,text,,YES,,无,无,无,无,无,无
function_features,euf_ID,int,MUL,NO,,是,fk_function_features_euf1,euf,ID,darkerdatabase,darkerdatabase
fusa_enum,LEVEL,varchar,PRI,NO,,无,无,无,无,无,无
image_sensors,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
image_sensors,Name,varchar,UNI,YES,,无,无,无,无,无,无
image_sensors,Resolution,varchar,,YES,,无,无,无,无,无,无
image_sensors,Supplier_Name,varchar,MUL,NO,,是,fk_Image_sensors_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
interface,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
interface,Number,int,,YES,,无,无,无,无,无,无
interface,Property,varchar,,YES,,无,无,无,无,无,无
interface,calculator_ID,int,MUL,NO,,是,fk_interface_calculator1,calculator,ID,darkerdatabase,darkerdatabase
interface,Type,varchar,MUL,NO,,是,fk_interface_interface_enum1,interface_enum,TYPE_VALUE,darkerdatabase,darkerdatabase
interface,SubType,varchar,MUL,NO,,是,fk_interface_interface_enum_sub1,interface_enum_sub,SUBTYPE_VALUE,darkerdatabase,darkerdatabase
interface_enum,TYPE_VALUE,varchar,PRI,NO,,无,无,无,无,无,无
interface_enum_sub,SUBTYPE_VALUE,varchar,PRI,NO,,无,无,无,无,无,无
interface_enum_sub,Type,varchar,MUL,NO,,是,fk_interface_enum_sub_interface_enum1,interface_enum,TYPE_VALUE,darkerdatabase,darkerdatabase
knowledge,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
knowledge,Work_ID,int,MUL,NO,,是,fk_Knowledge_Work1,work,ID,darkerdatabase,darkerdatabase
knowledge,Knowledge,varchar,MUL,NO,,是,fk_Knowledge_Knowledge_content1,knowledge_content,Name,darkerdatabase,darkerdatabase
knowledge_content,ID,int,PRI,NO,,无,无,无,无,无,无
knowledge_content,Name,varchar,UNI,YES,,无,无,无,无,无,无
knowledge_content,link,varchar,,YES,,无,无,无,无,无,无
lens,ID,int,PRI,NO,,无,无,无,无,无,无
lens,Name,varchar,UNI,YES,,无,无,无,无,无,无
lens,HFOV,float,,YES,,无,无,无,无,无,无
lens,VFOV,float,,YES,,无,无,无,无,无,无
lens,STACK,varchar,,YES,,无,无,无,无,无,无
lens,Supplier_Name,varchar,MUL,NO,,是,fk_lens_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
lidar,ID,int,PRI,NO,,无,无,无,无,无,无
lidar,Name,varchar,,YES,,无,无,无,无,无,无
memory_unit,MEMORY_UNIT_ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
memory_unit,MEMORY_TYPE,varchar,,NO,,无,无,无,无,无,无
memory_unit,MEMORY_SUBTYPE,varchar,,YES,,无,无,无,无,无,无
memory_unit,MEMORY_UNIT_NAME,varchar,,YES,,无,无,无,无,无,无
memory_unit,MEMORY_UNIT_SIZE,varchar,,YES,,无,无,无,无,无,无
memory_unit,MEMORY_UNIT_UNIT,varchar,,YES,,无,无,无,无,无,无
memory_unit,calculator_ID,int,MUL,NO,,是,fk_memory_unit_calculator1,calculator,ID,darkerdatabase,darkerdatabase
objects,OBJECT,varchar,PRI,NO,,无,无,无,无,无,无
objects,NAME,varchar,,YES,,无,无,无,无,无,无
objects,ID,varchar,,YES,,无,无,无,无,无,无
objects,CN,varchar,,YES,,无,无,无,无,无,无
position_enum,POSITION,varchar,PRI,NO,,无,无,无,无,无,无
processor,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
processor,Number,int,,YES,,无,无,无,无,无,无
processor,Name,varchar,,NO,,无,无,无,无,无,无
processor,Power,float,,YES,,无,无,无,无,无,无
processor,Lockstep,tinyint,,YES,,无,无,无,无,无,无
processor,calculator_ID,int,MUL,NO,,是,fk_processor_calculator1,calculator,ID,darkerdatabase,darkerdatabase
processor,Type,varchar,MUL,NO,,是,fk_processor_processor_enum1,processor_enum,Type,darkerdatabase,darkerdatabase
processor,Unit,varchar,,YES,STORED GENERATED,无,无,无,无,无,无
processor_enum,Type,varchar,PRI,NO,,无,无,无,无,无,无
processor_enum,UNIT,varchar,,YES,,无,无,无,无,无,无
processor_enum_sub,Unit,varchar,PRI,NO,,无,无,无,无,无,无
radar,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
radar,Name,varchar,,YES,,无,无,无,无,无,无
radar,Supplier_Name,varchar,MUL,NO,,是,fk_radar_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
radar,Calculator,varchar,MUL,NO,,是,fk_radar_calculator1,calculator,Name,darkerdatabase,darkerdatabase
radar,Maximum_Instrument_Range,float,,YES,,无,无,无,无,无,无
radar,Azimuth_FOV_min,float,,YES,,无,无,无,无,无,无
radar,Azimuth_FOV_max,float,,YES,,无,无,无,无,无,无
radar,Elevation_FOV_min,float,,YES,,无,无,无,无,无,无
radar,Elevation_FOV_max,float,,YES,,无,无,无,无,无,无
radar,Type,varchar,,YES,,无,无,无,无,无,无
regulation,REGULATION_NAME,varchar,,NO,,无,无,无,无,无,无
regulation,REGULATION_ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
sae_enum,LEVEL,varchar,PRI,NO,,无,无,无,无,无,无
sensor_type_enum,Type,varchar,PRI,NO,,无,无,无,无,无,无
sensor_type_enum_sub,SubType,varchar,PRI,NO,,无,无,无,无,无,无
sensor_type_enum_sub,Type,varchar,MUL,NO,,是,fk_sensor_type_enum_sub_sensor_type_enum1,sensor_type_enum,Type,darkerdatabase,darkerdatabase
sensors,ID,int,PRI,NO,,无,无,无,无,无,无
sensors,NAME,varchar,,YES,,无,无,无,无,无,无
sensors,sensorscol,varchar,,YES,,无,无,无,无,无,无
sensors_equipement,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
sensors_equipement,function_features_ID,int,MUL,NO,,是,fk_sensors_function_features1,function_features,ID,darkerdatabase,darkerdatabase
sensors_equipement,POSITION,varchar,MUL,NO,,是,fk_sensors_position_enum1,position_enum,POSITION,darkerdatabase,darkerdatabase
sensors_equipement,Type,varchar,MUL,NO,,是,fk_sensors_sensor_type_enum1,sensor_type_enum,Type,darkerdatabase,darkerdatabase
sensors_equipement,SubType,varchar,MUL,NO,,是,fk_sensors_sensor_type_enum_sub1,sensor_type_enum_sub,SubType,darkerdatabase,darkerdatabase
sensors_equipement,Mandatory,tinyint,,YES,,无,无,无,无,无,无
serializers,ID,int,PRI,NO,,无,无,无,无,无,无
serializers,Name,varchar,UNI,YES,,无,无,无,无,无,无
serializers,Supplier_Name,varchar,MUL,NO,,是,fk_serializers_suppliers_enum1,suppliers_enum,Name,darkerdatabase,darkerdatabase
suppliers_enum,Name,varchar,PRI,NO,,无,无,无,无,无,无
usecases,ID,int,PRI,NO,,无,无,无,无,无,无
usecases,Definition,varchar,,YES,,无,无,无,无,无,无
usecases,Pre_Condition,varchar,,YES,,无,无,无,无,无,无
usecases,Trigger_condition,varchar,,YES,,无,无,无,无,无,无
usecases,function_features_ID,int,MUL,NO,,是,fk_usecases_function_features1,function_features,ID,darkerdatabase,darkerdatabase
work,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
work,Name,varchar,UNI,YES,,无,无,无,无,无,无
work,Description,text,,YES,,无,无,无,无,无,无
work,Domain,varchar,,YES,,无,无,无,无,无,无
work,Metier,varchar,,YES,,无,无,无,无,无,无
work,isPrimary,varchar,,YES,,无,无,无,无,无,无
work_from,ID,int,PRI,NO,auto_increment,无,无,无,无,无,无
work_from,work_ID,int,MUL,NO,,是,fk_work_from_work1,work,ID,darkerdatabase,darkerdatabase
work_from,isFROM,varchar,MUL,NO,,是,fk_work_from_work2,work,Name,darkerdatabase,darkerdatabase
